recipe1_id,recipe2_id,lda_directions
16881,16881,1.0000000000000018
16881,56927,0.0
16881,213742,0.5327607300558584
16881,16066,0.0
16881,86047,0.0
16881,34929,0.0
16881,14554,0.0
16881,45954,0.0
16881,8818,0.0
16881,11758,0.0
16881,26317,0.0
16881,158727,0.0
16881,9023,0.0
16881,14939,0.0
16881,23312,0.0
16881,26692,0.0
16881,15184,0.0
16881,14231,0.0
16881,10687,0.0
16881,25037,0.0
16881,10813,0.0
16881,24059,0.0
16881,9471,0.0
16881,21712,0.0
16881,49552,0.0
16881,17319,0.9259165553852057
16881,17066,0.0
16881,50644,0.0
16881,17652,0.0
16881,21014,0.0
16881,67952,0.6618461066942105
16881,6984,0.0
16881,6820,0.0
16881,24332,0.0
16881,46653,0.0
16881,18906,0.0
16881,54675,0.0
16881,6698,0.0
16881,162760,0.45935639125931
16881,12720,0.0
16881,11853,0.0
16881,73456,0.0
16881,58112,0.0
16881,21672,0.0
16881,20792,0.0
16881,25874,0.0
16881,214651,0.0
16881,149310,0.0
16881,36925,0.8249342286268666
56927,16881,0.0
56927,56927,1.0000000000000018
56927,213742,0.0
56927,16066,0.0
56927,86047,0.0
56927,34929,0.0
56927,14554,0.710232076117591
56927,45954,0.0
56927,8818,0.0
56927,11758,0.0
56927,26317,0.8884071053736424
56927,158727,0.0
56927,9023,0.0
56927,14939,0.0
56927,23312,0.0
56927,26692,0.0
56927,15184,0.0
56927,14231,0.0
56927,10687,0.0
56927,25037,0.17060688371505542
56927,10813,0.0
56927,24059,0.0
56927,9471,0.0
56927,21712,0.0
56927,49552,0.0
56927,17319,0.0
56927,17066,0.0
56927,50644,0.0
56927,17652,0.0
56927,21014,0.0
56927,67952,0.0
56927,6984,0.0
56927,6820,0.0
56927,24332,0.0
56927,46653,0.0
56927,18906,0.0
56927,54675,0.0
56927,6698,0.0
56927,162760,0.0
56927,12720,0.0
56927,11853,0.0
56927,73456,0.7693677310000203
56927,58112,0.0
56927,21672,0.9999999967096882
56927,20792,0.0
56927,25874,0.9999999633178979
56927,214651,0.0
56927,149310,0.0
56927,36925,0.0
213742,16881,0.5279864473125199
213742,56927,0.0
213742,213742,0.9998701834622494
213742,16066,0.0
213742,86047,0.8051345792686164
213742,34929,0.0
213742,14554,0.0448570190742994
213742,45954,0.0
213742,8818,0.846859294985884
213742,11758,0.02518713553051793
213742,26317,0.36396357906828364
213742,158727,0.03938259819081913
213742,9023,0.846859229167287
213742,14939,0.0
213742,23312,0.32846242942970233
213742,26692,0.0
213742,15184,0.0637153762147756
213742,14231,0.0
213742,10687,0.0
213742,25037,0.06223148567583433
213742,10813,0.0
213742,24059,0.0
213742,9471,0.16548103131257225
213742,21712,0.0
213742,49552,0.0
213742,17319,0.4911596045299646
213742,17066,0.0
213742,50644,0.8468592742856292
213742,17652,0.846859290842808
213742,21014,0.6026950195407637
213742,67952,0.397233905787578
213742,6984,0.0
213742,6820,0.06371537403988183
213742,24332,0.07486995648372118
213742,46653,0.0
213742,18906,0.8051493315619173
213742,54675,0.06347293975306537
213742,6698,0.0
213742,162760,0.9928747735155138
213742,12720,0.3922287864901951
213742,11853,0.8468592956881851
213742,73456,0.39368605684164
213742,58112,0.8468593109356596
213742,21672,0.0
213742,20792,0.0
213742,25874,0.0
213742,214651,0.8468592714599955
213742,149310,0.0
213742,36925,0.8840253907543517
16066,16881,0.0
16066,56927,0.0
16066,213742,0.0
16066,16066,1.0000000000000078
16066,86047,0.0
16066,34929,0.4192678980495505
16066,14554,0.0
16066,45954,0.0
16066,8818,0.0
16066,11758,0.0
16066,26317,0.0
16066,158727,0.0
16066,9023,0.0
16066,14939,0.0
16066,23312,0.9220724239573291
16066,26692,0.0
16066,15184,0.0
16066,14231,0.9981623734429201
16066,10687,0.9940535015281105
16066,25037,0.0
16066,10813,0.0
16066,24059,0.0
16066,9471,0.0
16066,21712,0.0
16066,49552,0.0
16066,17319,0.0
16066,17066,0.0
16066,50644,0.0
16066,17652,0.0
16066,21014,0.7017614826409686
16066,67952,0.0
16066,6984,1.0000000158075777
16066,6820,0.0
16066,24332,0.8734473495636996
16066,46653,1.0000000215110734
16066,18906,0.0
16066,54675,0.0
16066,6698,0.0
16066,162760,0.0
16066,12720,0.06877626566571324
16066,11853,0.0
16066,73456,0.0
16066,58112,0.0
16066,21672,0.0
