recipe1_id,recipe2_id,lda_ingredients
16881,16881,1.0000000468538002
16881,56927,0.0
16881,213742,0.2833158550084885
16881,16066,0.9577663708737056
16881,86047,0.0
16881,34929,0.30769215813888634
16881,14554,0.014078102464217146
16881,45954,0.0
16881,8818,0.0
16881,11758,0.29709368570903816
16881,26317,0.0
16881,158727,0.04981967540793455
16881,9023,0.9548483659960911
16881,14939,0.02552902622320341
16881,23312,0.9548483521276399
16881,26692,0.0
16881,15184,0.29709368681046494
16881,14231,0.2970936923768244
16881,10687,0.0
16881,25037,0.0
16881,10813,0.0
16881,24059,0.954848345429829
16881,9471,0.8624478616072224
16881,21712,0.021947169103700856
16881,49552,0.0
16881,17319,0.0
16881,17066,0.0
16881,50644,0.0
16881,17652,0.0
16881,21014,0.018790743629797352
16881,67952,0.0
16881,6984,0.0
16881,6820,0.22744728121437308
16881,24332,0.2970936751801277
16881,46653,0.0
16881,18906,0.0
16881,54675,0.2970936823704006
16881,6698,0.0
16881,162760,0.0
16881,12720,0.0
16881,11853,0.2970936967758786
16881,73456,0.0
16881,58112,0.9577676616781258
16881,21672,0.01407904099909273
16881,20792,0.0
16881,25874,0.0
16881,214651,0.0
16881,149310,0.03049539252706548
16881,36925,0.29709368510773304
56927,16881,0.0
56927,56927,1.0000000322087514
56927,213742,0.30097903656498975
56927,16066,0.011239807871467515
56927,86047,0.0
56927,34929,0.011232893299223307
56927,14554,0.011248954426532747
56927,45954,1.0000000446509276
56927,8818,0.0
56927,11758,0.0
56927,26317,0.0
56927,158727,0.039791191505408934
56927,9023,0.0
56927,14939,0.998542482822663
56927,23312,0.0
56927,26692,0.0
56927,15184,0.0
56927,14231,0.0
56927,10687,0.0
56927,25037,1.000000015117426
56927,10813,0.9999999717093659
56927,24059,0.0
56927,9471,0.0
56927,21712,0.017534847054580416
56927,49552,0.9999999838307069
56927,17319,1.0000000016888475
56927,17066,0.8576203184012972
56927,50644,0.999999969563933
56927,17652,0.0
56927,21014,0.9714838562684265
56927,67952,0.0
56927,6984,0.0
56927,6820,0.0
56927,24332,0.0
56927,46653,1.0000000173694739
56927,18906,0.9999999809296475
56927,54675,0.0
56927,6698,0.854973852943041
56927,162760,0.7647368917232495
56927,12720,0.1968632517401195
56927,11853,0.0
56927,73456,0.0
56927,58112,0.011247195385879519
56927,21672,0.011239470940420847
56927,20792,0.0
56927,25874,1.000000016392258
56927,214651,0.0
56927,149310,0.024390384792811227
56927,36925,0.0
213742,16881,0.2832515714295502
213742,56927,0.3010200063090407
213742,213742,1.000000001643266
213742,16066,0.014105092813887832
213742,86047,0.0
213742,34929,0.9565779231683169
213742,14554,0.014109940096135403
213742,45954,0.3010200080897531
213742,8818,0.0
213742,11758,0.9536178175485013
213742,26317,0.0
213742,158727,0.04991826949663455
213742,9023,0.0
213742,14939,0.3200289140480534
213742,23312,0.0
213742,26692,0.0
213742,15184,0.9536177960867456
213742,14231,0.9536177847115441
213742,10687,0.0
213742,25037,0.30102000987847805
213742,10813,0.3010200141992332
213742,24059,0.0
213742,9471,0.0
213742,21712,0.02199943421719924
213742,49552,0.30102002028872893
213742,17319,0.30102000389230205
213742,17066,0.258127696053577
213742,50644,0.3010200101449844
213742,17652,0.0
213742,21014,0.30539079331292146
213742,67952,0.0
213742,6984,0.0
213742,6820,0.7301151784786467
213742,24332,0.9536178184618462
213742,46653,0.30102001506078224
213742,18906,0.3010199999049553
213742,54675,0.9536178572435559
213742,6698,0.2573596392695966
213742,162760,0.23020046593867988
213742,12720,0.05194255581530008
213742,11853,0.9536178129258829
213742,73456,0.0
213742,58112,0.014112646596982727
213742,21672,0.014100817127037622
213742,20792,0.0
213742,25874,0.3010200139860828
